window_label,window_start,window_end,n_dates,n_obs,dep_var,fmb_coef,fmb_se,fmb_pval,fmb_stars,nr_lag1_coef,nr_lag1_se,nr_lag1_pval,nr_lag1_stars,nr_lag2_coef,nr_lag2_se,nr_lag2_pval,nr_lag2_stars,nr_lag3_coef,nr_lag3_se,nr_lag3_pval,nr_lag3_stars,nr_lag4_coef,nr_lag4_se,nr_lag4_pval,nr_lag4_stars,nr_lag5_coef,nr_lag5_se,nr_lag5_pval,nr_lag5_stars,ls_mean_daily,ls_ann_return,ls_sharpe,ls_win_rate,ls_n_days
2016,2016-01-01,2016-12-31,260,115924,return_oo_adj,0.007041108016902449,0.026908976033485923,0.7935811908759669,,-0.002124732876704398,0.027652365833274548,0.9387532088557926,,0.025469227912562873,0.02792815510523402,0.3617954778727821,,-0.016020345989163607,0.03473926443257987,0.6446855531019269,,0.0032872831550644593,0.03353706757373712,0.9219171772253569,,-0.007947741642651046,0.03466483555004473,0.8186567309574548,,0.010288127342809778,2.592608090388064,0.3516343248471573,0.5038461538461538,260
2017,2017-01-01,2017-12-31,255,114704,return_oo_adj,-0.021724897629860566,0.03077828181108308,0.48028240867314786,,-0.06630222599128155,0.041043901311047126,0.10622916043066066,,-0.005961533721729371,0.03769239709511185,0.8743290071348209,,0.02304266465419481,0.047213299221453696,0.6255127671854313,,-0.009300880987062016,0.043498257864907915,0.8306865631009193,,0.06575310603043118,0.0373192895439976,0.07808949310779223,*,0.012145010622169787,3.0605426767867865,0.4746369822001926,0.5568627450980392,255
2018,2018-01-01,2018-12-31,260,118329,return_oo_adj,-0.05510126362535473,0.06610641205178894,0.4045521265000178,,-0.0358213695500376,0.0825689743733549,0.6644094437740118,,0.020877357790052457,0.08835574964082042,0.8132104747749596,,0.08899179877758037,0.08182726144904122,0.2767955359070755,,-0.1529150132633809,0.06951351428090818,0.0278260492752731,**,0.10461728716026111,0.08177112645731933,0.20076458921417495,,0.017175725671992187,4.328282869342031,0.5186267554035269,0.5192307692307693,260
2019,2019-01-01,2019-12-31,260,118956,return_oo_adj,0.18689719448228345,0.16362154394962858,0.2533526399443209,,0.04305021440675725,0.11658361920322248,0.7119319279864529,,0.040328366759988354,0.09423972556517557,0.668701050450947,,-0.04116904769495536,0.08838129468336901,0.6413521680492764,,-0.10184991241091194,0.09484560374533683,0.28289503482311584,,0.05479577375863755,0.0843776849443741,0.516075771967913,,0.04387804622886905,11.057267649675001,1.2804289208614454,0.5423076923076923,260
2020,2020-01-01,2020-12-31,261,119143,return_oo_adj,-0.3257906226742984,0.3038780227668525,0.2836744047592812,,-0.25842600274773453,0.1799278285287199,0.15093027873422882,,-0.00231108036383757,0.1611889541092089,0.9885606138346816,,0.09487336417637866,0.16631321380559966,0.5683751942942572,,-0.3756835589708005,0.1536058295205245,0.014458087681167964,**,0.17795017804903346,0.2003571882302675,0.37445656416830264,,0.051393493312485786,12.951160314746417,0.8507168296621117,0.5134099616858238,261
2021,2021-01-01,2021-12-31,261,116928,return_oo_adj,0.24876570657326694,0.19068774158800345,0.1920429495023679,,-1.3751748839086309,1.4003735419293055,0.3261011570412662,,-2.075685688091805,1.9263603475565207,0.28125397409284836,,1.840031033801983,1.7842099372044466,0.3024109945430844,,-0.49865058441822235,0.5045235170743895,0.32298081432153736,,1.249498000170104,1.2689724216574045,0.3247985112712126,,0.016992261069673716,4.282049789557776,0.4603459668785954,0.5210727969348659,261
2022,2022-01-01,2022-12-31,259,121390,return_oo_adj,0.058335844266613174,0.04057447768796818,0.15050950444767697,,-0.012128434536459263,0.04864240562580252,0.8030995532008056,,0.019024647765134694,0.052534722976115694,0.7172524876937301,,-0.09466303937806841,0.05983961766799597,0.11366661300569625,,0.008121709644432552,0.06083777473187011,0.8938000957777295,,0.08300233403298762,0.05805222736123048,0.15278273245668483,,0.01507315963422604,3.798436227824962,0.43398461266540894,0.4826254826254826,259
2023,2023-01-01,2023-12-31,256,118689,return_oo_adj,-0.039526259297298895,0.08207829074382711,0.6301144394195775,,-0.11455337578127102,0.07629390992453192,0.13323975373185082,,-0.06839994777107003,0.063978156746599,0.28502393410455373,,-0.00109656052595127,0.072431960254726,0.9879212092350664,,-0.09849837361905642,0.06770350624373388,0.1457179769668342,,0.010117762338123533,0.05752342250417584,0.8603815864358393,,0.06887692522353028,17.356985156329632,2.0392003094720113,0.56640625,256
2024,2024-01-01,2024-12-31,260,118117,return_oo_adj,0.011589773459814776,0.06558177705943775,0.8597269246279189,,0.04122480582362941,0.0880263460127267,0.6395558428079724,,0.02794872664625409,0.09805881189265671,0.775630274826361,,0.10046976827082897,0.09344393065352266,0.28229722164953497,,0.03377553324134234,0.09229967515202714,0.714416728956996,,-0.09480312736789746,0.09550751647143195,0.3208988970406206,,-0.0016644819292150961,-0.41944944616220425,-0.04779351070240961,0.47307692307692306,260
2025,2025-01-01,2025-12-31,261,116147,return_oo_adj,0.010810907612059306,0.0885966867256502,0.9028805374672131,,0.03534675530572487,0.12575211085530574,0.7786484439474894,,0.0398784051557866,0.10508016569509004,0.7043153446598014,,0.1122887243090219,0.1063732599994807,0.291153024362393,,0.13476037925189277,0.09577119048873887,0.15940374006718128,,-0.09075995385866413,0.08862269531696092,0.30578691183474627,,0.0674387202453555,16.994557501829583,1.6120621212755144,0.524904214559387,261
